FILE,Z_QSO,N_ABS,N_DLA
templates/PAQS_absorber_000001.fits,2.233214478062836,1,0
templates/PAQS_absorber_000002.fits,2.4648035716159553,3,0
templates/PAQS_absorber_000003.fits,2.921805729075635,6,2
templates/PAQS_absorber_000004.fits,2.2316433532639954,3,0
templates/PAQS_absorber_000005.fits,2.464472554411355,3,1
templates/PAQS_absorber_000006.fits,2.853709603901007,7,1
templates/PAQS_absorber_000007.fits,2.1336490963508825,2,0
templates/PAQS_absorber_000008.fits,2.301440983956623,4,0
templates/PAQS_absorber_000009.fits,2.494472995160347,3,1
templates/PAQS_absorber_000010.fits,2.7940872646686277,8,1
templates/PAQS_absorber_000011.fits,2.9233319351421865,7,0
templates/PAQS_absorber_000012.fits,2.7238816355594424,7,1
templates/PAQS_absorber_000013.fits,2.2670929324162574,4,0
templates/PAQS_absorber_000014.fits,2.0372608577523046,2,0
templates/PAQS_absorber_000015.fits,2.853195135518151,4,0
templates/PAQS_absorber_000016.fits,2.600202579023123,4,1
templates/PAQS_absorber_000017.fits,2.8579509290358134,4,0
templates/PAQS_absorber_000018.fits,2.452162880085602,3,0
templates/PAQS_absorber_000019.fits,2.5465550864238145,5,0
templates/PAQS_absorber_000020.fits,2.5468765528550863,4,0
templates/PAQS_absorber_000021.fits,2.535397969980742,5,1
templates/PAQS_absorber_000022.fits,2.289766990507193,3,0
templates/PAQS_absorber_000023.fits,2.504758418218978,5,0
templates/PAQS_absorber_000024.fits,2.9821370883208598,7,1
templates/PAQS_absorber_000025.fits,2.1891469387795635,5,0
templates/PAQS_absorber_000026.fits,2.80790401551634,8,0
templates/PAQS_absorber_000027.fits,2.149368326828503,4,0
templates/PAQS_absorber_000028.fits,2.3971054178941578,4,0
templates/PAQS_absorber_000029.fits,2.827322325989048,4,0
templates/PAQS_absorber_000030.fits,2.5587582308352674,9,0
templates/PAQS_absorber_000031.fits,2.3740659900892673,2,0
templates/PAQS_absorber_000032.fits,2.117344845775624,2,0
